id,japanese_name,scientific_name,order_name_ja,order_name_en,family_name_ja,family_name_en,genus_name,species_name,subspecies_name,distribution,note
383,シイモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,castanopsiella,,本州、九州,
384,ヒサコナラモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,hisakoae,,本州,
385,ヒサコナラモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,hisakoae,,本州,
386,アズミノモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,azuminoensis,,本州,
387,スイカズラモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,gracilipae,,本州,
388,カマツカモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,pourthiaeella,,本州,
389,アズキナシモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,azukinashii,,本州,
390,シナノキモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,regina,,北海道、本州,
391,コアカソモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,boehmeriae,,本州、九州,
392,ヤマグワモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,morivora,,本州,
393,オオイシモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Trifurcula,oishiella,,本州,
394,キンツヤモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Bohemannia,nipponicella,,北海道、本州,
395,ヒメキイロモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Etainia,parva,,本州、九州,
396,ミスジモグリチビガ,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Stigmella,trifasciata,,北海道,
397,不明,,チョウ目,Lepidoptera,モグリチビガ科,Nepticulidae,Ectoedemia,cerviparadisicola,,本州,
398,シロヒラタモグリガ,,チョウ目,Lepidoptera,ヒラタモグリガ科,Opostegidae,Opostegoides,albellus,,本州,
399,イッシキヒラタモグリガ,,チョウ目,Lepidoptera,ヒラタモグリガ科,Opostegidae,Eosopostega,issikii,,本州、九州,
400,ツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,subpurpurea,,九州,
401,アシオビツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,limbata,,本州、九州,
402,ウストビツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,biprominens,,本州,
403,ミヤマツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,angulata,,本州,
404,トビイロツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,brevitalea,,本州,
405,カツラギツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Heliozela,glabrata,,本州,
406,ブドウツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,ampelopsia,,本州、九州、屋久島,
407,チビブドウツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,orbiculella,,本州、九州、屋久島,
408,ブドウキンモンツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,uenoi,,北海道、本州,
409,ミズキツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,corniella,,北海道、本州、九州,
410,ムラサキミズキツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,purplella,,本州、四国、九州,
411,オオブドウキンモンツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,inouei,,北海道、本州、九州,
412,ツタツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,iviella,,屋久島,
413,タテシナツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,tateshinensis,,本州,
414,アジサイツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,hydrangifoliella,,北海道、本州、九州,
415,イスノキツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,distyliella,,沖縄島,
416,サカキツヤコガ,,チョウ目,Lepidoptera,ツヤコガ科,Heliozelidae,Antispila,cleyerella,,本州,
417,ケブカヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Adela,praepilosa,,本州、四国、九州,
418,アトキケブカヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Adela,luteocilis,,本州、九州,
419,ムモンケブカヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Adela,luminaris,,本州、九州,
420,クロハネシロヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,albiantennella,,本州、四国、九州、屋久島,
421,キオビクロヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,umbripennis,,北海道、本州、四国、九州,
422,リュウキュウクロヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,pruinosa,,奄美大島、沖縄島、宮古島,
423,アマミヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,marisella,,奄美大島、沖縄島、西表島,
424,ウスオビコヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,tenuifasciata,,奄美大島、沖縄島,
425,ギンスジヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,optima,,北海道、本州、九州、奄美大島,
426,ホソフタオビヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,trimetrella,,北海道、本州、四国、九州,
427,キオビコヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,bifasciatella,,北海道、本州、四国、九州,
428,ギンスジコヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,stellata,,本州、四国、九州,
429,カラフトヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,karafutonis,moriokensis,本州,
430,ワカヤマヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,wakayamensis,,本州、九州,
431,サッポロヒゲナガ,,チョウ目,Lepidoptera,ヒゲナガガ科,Adelidae,Nemophora,sapporensis,,北海道、本州,
432,ヘリモンマガリガ,,チョウ目,Lepidoptera,ホソヒゲマガリガ科,Prodoxidae,Greya,marginimaculata,,本州,
433,ヒトスジマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Alloclemensia,unifasciata,,北海道、本州、九州,
434,フタモンマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Alloclemensia,maculata,,北海道、本州、四国、九州,
435,ムラサキツヤマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Paraclemensia,caerulea,,本州、四国、九州,
436,イヌシデマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Paraclemensia,viridis,,九州,
437,クリヒメマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Paraclemensia,oligospina,,本州、九州,
438,ヒメアオマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Paraclemensia,cyanea,,本州,
439,クシヒゲマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Incurvaria,takeuchii,,本州,
440,ハンノキマガリガ,,チョウ目,Lepidoptera,マガリガ科,Incurvariidae,Incurvaria,alniella,,本州、対馬,
441,ヤマトキムモンハモグリ,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Tischeria,naraensis,,本州,
442,不明,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Tischeria,kumatai,,北海道、本州,
443,クヌギキムモンハモグリ,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Tischeria,quercifolia,,北海道、本州、四国、九州,
444,ヒサカキムモンハモグリ,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Coptotriche,japoniella,,本州、九州、奄美大島,
445,ワレモコウツヤムモンハモグリ,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Coptotriche,szoecsi,japonica,本州,
446,不明,,チョウ目,Lepidoptera,ムモンハモグリガ科,Tischeriidae,Coptotriche,symplocosella,,九州,
447,ミナミオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Scardia,fusca,,本州、九州,
448,スジモンオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Amorophaga,japonica,,本州、九州,
449,エゾウスマダラオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophaga,plana,,北海道,
450,ヤエヤママダラオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophaga,iriomotensis,,沖縄島、石垣島、西表島,
451,シイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,moriutii,,本州、四国,
452,ヒメシイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,breviculus,,本州,
453,ニシシイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,occidentalis,,本州、九州,
454,キイシイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,robinsoni,,本州,
455,ミヤマシイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,aquilonis,,本州,
456,ヤクシマシイタケオオヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Morophagoides,yakuensis,,屋久島,
457,シラホシミヤマヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Triaxomera,puncticulata,,本州、九州,
458,マダラマルハヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Ippa,conspersa,,本州、四国、九州、沖縄島、石垣島、西表島,
459,ホソヒメヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Eudarcia,dentata,,本州、九州、対馬、沖縄島、石垣島、竹富島,
460,ハイイロスカシモンヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Crypsithyris,cana,,本州、九州、対馬、沖縄島、石垣島,
461,クロモンチビヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Crypsithyris,crococoma,,本州、九州,
462,コガタスカシモンヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Crypsithyris,saigusai,,本州、九州、対馬,
463,マメヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Dryadaula,trapezoides,,本州、屋久島、沖縄島、石垣島,
464,チビツマオレガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Erechthias,ioloxa,,本州,
465,オガサワラツマオレガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Erechthias,itoi,,小笠原諸島,
466,マダラシロツマオレガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Comodica,contributa,,本州、四国、九州、屋久島,
467,ミナミマダラシロツマオレガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Comodica,saitoi,,沖縄島、石垣島、西表島,
468,ミナミスカシモンヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Gerontha,akahatii,,石垣島,
469,クロクモヒロズコガ,,チョウ目,Lepidoptera,ヒロズコガ科,Tineidae,Psecadioides,aspersus,,北海道、本州、四国、九州、対馬,
470,ミドリチイヒロズミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Eumasia,viridilichenella,,本州、九州,
471,コケヒロズミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Eumasia,muscella,,本州、九州,
472,ヨナグニマダラミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Anatolopsyche,stylifera,,与那国島,
473,ミツカドチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Trigonodoma,japonica,,本州、九州、沖ノ島,
474,シロテンチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Paranarychia,albomaculatella,,本州,
475,パルテノスチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Dahlica,parthenogenesis,,本州、九州,
476,ハルノチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Kozhantshikovia,vernalis,,本州、九州,
477,ナツノチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Kozhantshikovia,aestivalis,,本州,
478,トガリチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Taleporia,shosenkyoensis,,本州,
479,アマリチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Taleporia,amariensis,,本州,
480,ハイイロチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Taleporia,trichopterella,,本州、九州,
481,クロチビミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Taleporia,nigropterella,,本州、九州、、沖縄島,
482,アキノヒメミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Bacotia,sakabei,,本州、四国、九州、対馬,
483,不明,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Psyche,kunashirica,,国後島,
484,不明,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Proutia,nigra,,九州,
485,オオミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Eumeta,variegata,japonica,本州、四国、九州、対馬、南西諸島,
486,ネグロミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Acanthopsyche,nigraplaga,,本州、四国、九州、対馬,
487,シバミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Nipponopsyche,fuscescens,,本州、九州,
488,キタクロミノガ,,チョウ目,Lepidoptera,ミノガ科,Psychidae,Canephora,pungelerii,,北海道、本州、四国,
489,アオギリチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,firmianella,,本州、四国、九州,
490,ハマボウチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,hamaboella,,本州,
491,アムールチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,altera,,北海道,
492,ケヤキチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,serratella,,本州,
493,コギチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,kogii,,北海道,
494,ハンノキチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,muraseae,,北海道、本州,
495,シラホシチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,cidarella,,本州,
496,クヌギチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,tsurubamella,,本州,
497,コナラチビガ,,チョウ目,Lepidoptera,チビガ科,Bucculatricidae,Bucculatrix,comporabile,,北海道、本州,
498,チビホシボシホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Parornix,minor,,本州,
499,ベニホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Macarostola,japonica,,本州、四国、屋久島,
500,フタモンハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,geminata,,本州,
501,ワカヤマハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,wakayamensis,,近畿地方,
502,ヤスダハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,yasudai,,北海道、本州,
503,マツムラハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,matsumurai,,本州,
504,カズラハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,kadsurae,,本州、九州、屋久島、南西諸島,
505,ホソバタブハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,crinotibialis,,本州、九州、対馬,
506,ナラウススジハマキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,querci,,北海道、本州、九州、種子島、奄美大島,
507,タマホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,cecidophora,,本州、九州、種子島、屋久島、南西諸島,
508,フタテンシロダモホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,bipunctata,,本州,
509,クスノキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,camphorae,,本州、九州、屋久島,
510,ムラサキシキブホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Caloptilia,callicarpae,,本州、四国、屋久島,
511,ミツキボシホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Calybites,trimaculata,,四国、屋久島,
512,ギンスジホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Aristaea,issikii,,本州,
513,フジアシブサホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Cuphodes,wisteriella,,本州、四国、九州,
514,ニガキギンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Eteoryctis,picrasmae,,北海道、本州,
515,カシノキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Acrocercops,querci,,本州,
516,イスノキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Acrocercops,distylii,,本州、四国、九州、対馬、屋久島,
517,ヒメカシノキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Acrocercops,vallata,,本州、隠岐、四国、九州,
518,ヨツアシホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Artifodina,japonica,,本州、四国,
519,フタクシホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Dialectica,japonica,,九州,
520,コブシホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Gibbovalva,kobusi,,北海道、本州,
521,ホウノキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Gibbovalva,magnoliae,,北海道、本州,
522,ヒサカキホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Borboryctis,euryae,,本州、四国、九州、対馬,
523,シイヒカリバホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Chrysocercops,castanopsidis,,本州、四国、屋久島,
524,クヌギカワホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Spulerina,virgulata,,本州,
525,ツタホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Spulerina,parthenocissi,,北海道、本州、四国,
526,ギンモンカワホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Dendrorycter,marmaroides,,北海道,
527,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,anthophilia,,奄美大島、沖縄島,
528,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,bipollenella,,南西諸島,
529,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,lanceolatella,,南西諸島,
530,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,perplexa,,南西諸島,
531,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,corruptrix,,南西諸島,
532,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,parasitica,,南西諸島,
533,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Epicephala,nudilingua,,本州、九州,
534,ミツオビツヤホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Neolithocolletis,hikomonticola,,北海道、本州、九州、対馬,
535,ヌスビトハギツヤホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Hyloconis,desmodii,,本州、九州、対馬,
536,フジツヤホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Hyloconis,wisteriae,,本州、四国、九州,
537,ガマズミニセキンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Cameraria,hikosanensis,,北海道、本州、隠岐、四国、九州,
538,ナカボシキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,maculata,,北海道、本州,
539,アサダキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,ostryae,,北海道,
540,ハシバミキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,tenebriosa,,本州,
541,ヒコサンキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,hikosana,,本州、九州,
542,カシワミスジキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,persimilis,,北海道、本州,
543,ヒメキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,pygmaea,,北海道、本州、四国、九州,
544,ブナキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,fagifolia,,北海道、本州、九州,
545,ハスオビキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,rostrispinosa,,北海道、本州、九州,
546,ミズナラキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,mongolicae,,北海道、本州、四国、九州,
547,ガマズミキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,viburni,,北海道、本州、四国、九州,
548,ツルギキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,turugisana,,北海道、本州、四国,
549,キンスジシロホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,leucocorona,,北海道、本州、九州,
550,クロコキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,kurokoi,,九州,
551,ネジキキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,lyoniae,,本州、四国、九州,
552,エゴノキキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,styracis,,本州、九州、対馬、屋久島,
553,クルミキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,juglandis,,北海道、本州、九州,
554,ヤクシマキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,yakusimensis,,屋久島,
555,ツヤオビキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,longispinata,,北海道、本州,
556,オオキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,gigas,,本州,
557,ミツオビキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,tritorrhecta,,本州、隠岐、対馬,
558,ケヤキキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,zelkovae,,本州、四国、九州,
559,コゴメウツギキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,stephanandrae,,本州、対馬,
560,スイカズラキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,lonicerae,,本州、四国、対馬、九州、屋久島,
561,エノキキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,celtidis,,北海道、本州、九州,
562,エノキヒメキンモンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllonorycter,bifurcata,,北海道、四国、九州,
563,イヌツゲオビギンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Eumetriochroa,miyatai,,北海道、本州、四国、九州,
564,ハリギリオビギンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Eumetriochroa,kalopanacis,,北海道、本州,
565,ヒラノオビギンホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Eumetriochroa,hiranoi,,本州、南西諸島,
566,未定,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Eumetriochroa,araliella,,本州、九州、奄美大島,
567,ヤチダモハイオビホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Metriochroa,fraxinella,,本州、小笠原諸島、隠岐、九州,
568,ハシドイハイオビホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Metriochroa,syringae,,北海道,
569,ヤエヤマクロチビホソガ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Corythoxestis,yaeyamensis,,南西諸島,
570,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Corythoxestis,tricalysiella,,石垣島,
571,不明,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Guttigera,schefflerella,,奄美大島、石垣島,
572,ネコヤナギコハモグリ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllocnistis,gracilistylella,,本州、九州,
573,ユズリハコハモグリ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllocnistis,hyperbolacma,,北海道、本州,
574,フタリシズカコハモグリ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllocnistis,shizukagozen,,本州、九州,
575,ミズキコハモグリ,,チョウ目,Lepidoptera,ホソガ科,Gracillariidae,Phyllocnistis,indistincta,,本州、四国、九州,
576,ツヤギンバネスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Niphonympha,vera,,本州,
577,メンケンスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Yponomeuta,menkeni,,本州,
578,マユミハイスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Yponomeuta,osakae,,北海道、本州、四国,
579,ツルマサキスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Yponomeuta,mayumivorellus,,北海道、本州,
580,ムモンニセハイスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Euhyponomeuta,secundus,,北海道,
581,シロズキヌスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Kessleria,pseudosericella,,本州,
582,ヒメホソスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Euhyponomeutoides,namikoae,,北海道、本州,
583,ハシドイコスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Zelleria,silvicolella,,北海道、本州,
584,オオシロジスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Klausius,major,,本州、九州,
585,キエリヒメスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Lampresthia,lucella,,北海道、本州,
586,マンネングサヒメスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Swammerdamia,sedella,,北海道、本州、四国,
587,ミヤマヒメスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Paraswammerdamia,monticolella,,北海道,
588,アトジロコスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Lycophantis,bradleyi,,奄美大島、石垣島,
589,シロツバメスガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Saridoscelis,synodias,,北海道、本州、九州,
590,ハイイロムモンメムシガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Argyresthia,fujiyamae,,本州,
591,トドマツメムシガ,,チョウ目,Lepidoptera,スガ科,Yponomeutidae,Argyresthia,nemorivaga,,北海道、本州、四国,
